Pergunta,A,B,C,D,Correta,Imagem
"  93) Sobre o NOW/nowonline selecione a alternativa correta:  I.O aluguel de conteúdo pago pode ser feito pela TV, computador e aplicativo Android e podem ser assistidos em todos os dispositivos pelo período de 48h, a partir do momento do aluguel;  II. O cliente pode cadastrar até 2 dispositivos móveis (Smartphone/Tablet) e um computador;  III. Pode dar play em 1 dispositivo móvel e 1 computador ao mesmo tempo, além da TV que é independente.  ",Apenas a afirmação I está correta,Apenas a afirmação Il está correta,Apenas as afirmações I e III estão corretas,Todas as afirmações estão corretas,D,
94)     Selecione a alternativa que contem corretamente o nome de cada perda do passivo:,A - inserção; B - Isolação; C - Derivação,A - Derivação; B - Inserção; C - Isolação,A - Inserção; B - Derivação; C - Isolação,A - Isolação; B - Inserção; C - Derivação,C,https://i.postimg.cc/rpPcqc9X/DC.jpg
95)     Em que faixa de frequência trabalham os sinais de CATV?,KHz ;,MHz ;,GHz ;,THz .,B,
96)     Qual a finalidade da pingadeira?,Evitar que haja infiltração de água na casa do cliente através do cabo.,Apenas para deixar a estética da instalação ideal ;,Serve como reserva técnica caso o cliente queira mudar local ;,Ocasionar infiltração de água na casa do cliente ;,A,
97)   Quais as partes que compõem um cabo de Fibra Óptica?,Capa protetora ;,Casca ;,Núcleo ;,Todas as alternativas acima .,D,
"98)     Em alta frequência, a corrente tende a migrar para a extra m idade do condutor, que fenômeno é  esse?",Efeito Migratório ;, Efeito Quasi Square ;, Efeito Senoidal ;, Efeito Skin,D,
"99) Ao executar o teste de navegação após a instalação do produto Virtua, o teste de download apresenta uma taxa de transferência de 7,5 MBps, qual é a velocidade contratada desse cliente? ",100 Mbps, 12 Mbps, 120 Mbps, 60 Mbps,D,
"100) O cliente adquiriu uma TV 4K com aplicativos de programação que transmitem conteúdos em Ultra HD. Essa TV será conectada via Wi-Fi e além de ser compatível ela recebe com qualidade as 2 redes (2.4 e 5 GHz) disponibilizadas pelo eMTA dual band. Das opções a seguir, qual é adequada para essa instalação?","Conectar a Tv na rede de 2,4 Ghz que sofre menos interferência apesar da banda de transmissão ser menor"," Conectar a Tv na rede de 2,4 Ghz que sofre mais interferência e possui uma banda de transmissão maior", Conectar a Tv na rede de 5 Ghz que sofre mais interferência apesar da banda de transmissão ser maior, Conectar a Tv na rede de 5 Ghz que sofre menos interferência e possui uma banda de transmissão maior,D,
101)   A conexão SPDIF é uma conexão :,De vídeo digital SD ., De vídeo digital HD ., De áudio digital ., De áudio analógico .,C,
102)   Qual é o padrão do telefone para que o identificador de camadas (BINA) funcione?,FSK, DBMV, DTMF, DVB - T,C,
"103) Em uma visita técnica com problemas no NOW, observou-se que o decodificador está com o LED de sincronismo piscando. Qual a possível causa desse problema?",O decodificador não é HD, A potência de sinal do Canal Alto está muito baixa, O cliente não possui NOW contratado em seu pacote de TV, A potência de sinal de TX e RX está fora do padrão,D,
"104) Quando o Cliente possui um sistema de VPN e abre reclamação que parou de funcionar, devemos observar abaixo:",Se o Cliente possui um IP dinâmico e o E-MTA em Bridged, Se o Cliente possui um IP Nateado, Se o Cliente possui um IP Fixo, Se o Cliente possui um IP dinâmico,B,
105) O espectro de frequência foi dividido em 2 canais de transmissão (Direto e Retorno). Quais os sinais que trafegam em cada canal?,"Direto (CA, CB e TX) e Retorno (RX)"," Direto (CA, CB e RX) e Retorno (TX)", Direto (CA e TX) e Retorno (CB e RX), Direto (CA e CB) e Retorno (TX e RX).,B,
"106) Um cliente Claro TV quer contratar os canais a la carte PFC e UFC pelo controle remoto, o que devo observar para que ele consiga fazer esta contratação sem precisar ligar na central de atendimento?","Testar os canais pilotos CA, CB e RX."," Verificar o LED de sincronismo se está aceso, realizar a verificação do IP (10.X.X.X) e fazer o Report Back", TX deve estar dentro do padrão 40 a 51 dBmv, Se o controle remoto do cliente é Universal,B,
"107) Sobre o procedimento de Instalação Wi-Fi, selecione a alternativa correta: (Treinamento de 1 Ponto 196 A)",I - Sempre priorize a melhor cobertura de sinal nos cômodos onde o cliente informar que mais utilizará o WI-FI;,"II - A cobertura deve ser garantida em 80% dos cômodos com potência entre -10dBm e -70dBm, nos outros 20% dos cômodos, a cobertura deve estar entre -70dBm e -90dBm","III - Onde não houver cobertura de sinal entre -10dBm e -70dBm, explique ao cliente que nesse cômodo há possibilidade de problemas de navegação ou lentidão na navegação (anote na O.S. essa informação);",lV - Todas as alternativas estão corretas,D,
"108) O cliente com UPDate ID 1, tem qual serviço disponível em seu decodificador HD?",Serviço de Gravação, Serviço NOW e Alta definição, Serviço NOW e serviço de Gravação, Alta definição e serviço de Gravação,B,
"109) Dos padrões de redes Wi-Fi abaixo para um Cliente de (1Gbps), qual nos proporciona a maior velocidade da taxa de transmissão? (EAD Procedimentos NET Wi Fi).",ac, g, ax, n,C,
110) Referente ao BER padrão Claro abaixo qual representa a melhor Qualidade,1.0 E-7, 2.3 E-8, 0.0 E-9, 1.0 E-9,C,
111) Referente as redes 2.4GHZ e 5.8Ghz qual a afirmação abaixo esta correta,A de 2.4Ghz possui menor alcance e maior volume de transmissão WI-FI do que a de 5.8Ghz, A de 2.4Ghz possui o mesmo alcance e volume de transmissão WI-FI do que a de 5.8Ghz, A de 2.4Ghz possui maior alcance e menor volume de transmissão WI-FI do que a de 5.8Ghz, A de 2.4Ghz possui maior alcance e maior volume de transmissão WI-FI do que a de 5.8Ghz,C,
112) Sobre o TNPS e o NPS (Medição de Satisfação do Cliente) assinale abaixo a correta informação.,I. TNPS é referente ao atendimento do Técnico e o NPS é referente a Satisfação do Produto ou Marca,II. TNPS é referente a Satisfação do Produto ou Marca e o NPS é referente ao atendimento do Técnico,Nenhuma das alternativas acima,n.d.a,A,
"113) Dos padrões de criptografia Wi-Fi listados abaixo, qual é considerado o mais seguro? (EAD ETN – WiFi)",RADIUS-PSK, WEP, WPA, WPA2,D,
114) Código detector e corretor de erros é chamado de:, FEC, BER, MER, QAM,A,
115) Qual sigla define  Taxa de erro de bit., BER, MER, FEC, QPSK,A,
116) Qual Sigla define Taxa de erro de modulação:, MER, BER, FEC, QAM,A,
117) O que é Modulação QAM (Quadrature Amplitude Modulation) (EAD Medidas II), Modulação que altera os simbolos em função da fase e amplitude, Modulação que altera os simbolos em função da amplitude, Modulaçāo que altera os simbolos em funçāo da fase, Modulação que altera os símbolos em função da frequência,A,
118)   Qual o procedimento adotado para o acesso a página de validação do REPORT BACK nos Decoders HD /HD MAX?," Colocar no canal 1 e digitar no controle ""azul"" + ""MENU"" + ""8291"""," Colocar no canal 261 e digitar no controle ""verde"" + ""8291"""," Colocar no canal 1 e digitar no controle ""azul"" + ""8291"""," Colocar no canal 262 e digitar no controle ""azul"" + ""8291""",D,
"119)  Em uma casa com dois pontos de TV, existe um Two-Way (splitter) onde o cabo de entrada da casa foi ligado em uma de suas saídas, e o primeiro ponto em outra saída, e o segundo ponto foi ligado na entrada, o que está acontecendo com as televisōes?"," Os dois pontos estão funcionando, porém sem áudio", O primeiro ponto funciona e o segundo não, O segundo ponto funciona e o primeiro não, Os dois pontos estão parados,C,
"120)  Complete com a alternativa correta. Um cliente contratou uma velocidade de 60___. Com esta Velocidade ele pode realizar download até 7,5___.", MBps; MBps, MBps; Mbps, Mbps; MBps, Mbps; Mbps,C,
"121)  Qual a função do teste de velocidade, ping e Tracert, respectivamente?"," Testa a velocidade, pinga e testa o traço"," Testa a velocidade, verificar o tempo da conexão, traça a rota no mapa"," Testa a velocidade do pacote, vê o tempo da conexão, vê rota somente dentro da NET"," Testa se velocidade está dentro da contratada, testa a latência, faz um ping em todos os computadores no caminho até o endereço de internet desejado",D,
"122)  O cliente reclama que em alguns canais de seu decoder HD ele não consegue alterar o volume pelo controle remoto NET, somente com o da TV. O que deve ser feito para solucionar este problema?", Solicitar ao cliente que troque sua TV por uma que tenha entrada HDMI," Configurar o controle remoto universal para controle do áudio da TV, e entregar um novo caso o cliente não possua", Trocar o cabeamento RG06 por RG11, Instruir cliente sobre este problema que não tem solução,B,
123) Uma aplicação em IPv4 consegue comunicar-se usando o protocolo IPv6?," Não, pois IPv6 não é dinâmico e o IPv4 é"," Não, pois um protocolo não é compatível com o outro"," Sim, pois ambos são protocolos de 32 bits"," Sim, pois são protocolos compatíveis",B,
"124) Um eMTA está com o LED TEL1 piscando, porém o telefone está no gancho e cliente reclama que não faz e nem recebe chamadas. Dentre as opções abaixo, qual é o possível defeito?", Cadastro correto na Embratel, Extensões em curto, Saída RJ 45 queimada, Telefone em modo pulse,B,
125) O que significa efetuar um ROLLBACK em clientes com IP Nateado?, A possibilidade do retorno do cliente para o IPv4, É o comando dado para que o assinante receba o IPv6, É uma das etapas de migração para o IPv6, Todas as afirmações acima estão corretas,D,
"126) Após termos certeza de que os níveis e cabeamento estão dentro dos padrões, qual é o procedimento para atualização das versões do Firmware e NET TV?"," Com o decoder ligado envie um hit para o equipamento, aguarde de 2 a 5 minutos e depois desligue o decoder utilizando o controle remoto, aguarde que o processo de atualização irá começar, aguarde aproximadamente de 5 a 10 minutos"," Desligue o decoder pelo cabo de força, aguarde de 2 a 5 minutos e depois que ligar executar o Forced Download, aguarde aproximadamente de 5 a 10 minutos", Executando o Forced Download e enviando um HIT após a conclusão desse processo, Executando o processo em que forçamos a execução da atualização (Forced Download),B,
"127)  O ___ é um sinal que é enviado através do Canal___ do Headend até a casa do cliente. Uma vez sincronizado o equipamento inicia o sincronismo do Sinal de___ através do Canal___.
Preencha os termos corretos  ", RX - Canal Direto - TX - Canal de Retorno, TX - Canal Direto - RX - Canal de Retorno, RX-Canal de Retorno - TX - Canal Direto, RX-Canal Analógico - TX - Canal Digital,A,
128)  O que é Ponto Ultra?," Um produto que permite ao cliente conectar seus dispositivos a partir do eMTA, por meio de uma conexão de cabo ethernet, em diferentes cômodos de sua casa."," Um produto que utiliza eMTA dual band. Na prática, a conexão da sua casa pode ficar até 5x mais rápida e com muito menos interferências do que rede a convencional.", Um produto que utiliza decodificadores HDNG e 4K nos pontos adicionais., Ponto adicional que utiliza decodificador UHD 4K.,A,
129)  É utilizado para Transformar o sinal Luminoso que chega por meio da fibra óptica em sinal elétrico para ser transmitido via cabos coaxiais., Headend, Transceptor óptico, Hub, Amplificador,B,
"130)  Os amplificadores de CATV possuem um componente responsável em separar o sinal do canal direto, do canal de retorno. Este componente é o: (EAD Ativos de Rede Externa I)", Eq. Interstage;, Filtro Diplex;, Híbrido de retorno;, Híbrido do direto;,B,
"131) A utilização do mini isolador é obrigatoria em todos os teinais instalados na casa do cliente, qual a é função deste componente?",O mini isolador amplifica o sinal e melhora a qualidade do sinal recebido nos equipamentos.,O mini isolador serve para proteger os terminais contra surtos de tensão e retorno de AC,O mini isolador serve para corrigir defeitos somente do Virtua,O mini isolador ajuda no controle dos terminais pelo datacenter,B,
"132) O aplicativo técnico nota 10 possui diversas funções, uma delas é a verificação de TAP lotado. Assinale a alternativa correta:","A função TAP lotado mostra quais domicilios conectados no TAP são clientes ativos e inativos, auxiliando no momento da instalação.",A função TAP lotado ajuda o técnico a medir o sinal de CA e CB no TAP,A função de TAP lotado auxilia o técnico no momento do deslocamento para a visita,A função de TAP lotado auxilia o técnico a medir a velocidade do virtua,A,
"133) Quando o cabo entrar na fachada do domicílio do cliente, é necessário efetuar furo na parede, colocação de bucha de acabamento e realização de pingadeira. Qual o diâmetro da pingadeira?",35cm,15cm,20cm,27cm,B,
"134) Ao acomodar o cabo passado de forma exposta, qual a distância a ser respeitada entre os fixa-fios?",50cm,25cm,19cm,100cm,A,
"135) Na acomodação do cabo coaxial RG06, é necessário bastante cuidado para não amassar ou dobrar o cabo. O que acontece caso o cabo sofra dobraduras, vincos ou amassados?","Não acontecerá nada, já que o cabo coaxial é bastante resistente.",Ajudará na qualidade do sinal recebido pelo equipamento,"O serviço funcionará perfeitamente, aumentando o seu upload","O cabo sofrerá descasamento de impedância, causando atenuações excessivas e defeito nos produtos que trabalham em alta frequência.",D,
136) Quais os defeitos causados pelo ingresso de ruido na rede?,Lentidão e queda na navegação,Macroblocos na imagem e falha nas ligações do telefone,Intermitência e travamentos,Todas as alternativas anteriores,D,
137) Qual site deve ser acessado em casos de problemas com portabilidade?,Voip.claro.com.br,Consultanunero.abrtelecom.com.br,Anatel.gov.br,Claro.com/telefoniavoip,B,
"138) Ao término do seu atendimento, o cliente realiza uma pesquisa que avalia o seu atendimento. Qual é este indicador?",Revisita,Cumprimento de agenda,TNPS,Pesquisa Claro +,C,
"139) Durante o atendimento ao cliente, é necessário zelar pela ótima experiência do cliente com a nossa atuação. Quais quesitos são fundamentais para encantar o cliente durante o atendimento?",Ética e planejamento,Apresentação pessoal e empatia com o cliente,Testar e explicar todos os produtos instalados,Todas as alternativas,D,
140)  Quais são as formas que cliente pode utilizar o auto atendimento pelo Minha Claro Residencial?,Somente Site,"Whatsapp, Site e Aplicativo",Somente aplicativo,Somente Whatsapp,B,
141)  Qual a função do controle de qualidade?,Garantir aderência dos processos de instalação para que falhas de execução não impactem a experiência do cliente com os produtos Claro,Apenas apontar as falhas dos instaladores,Mostrar os acertos dos instaladores,,A,
142)  Qual aplicativo devemos utilizar para a realização da baixa do serviço e habilitação dos terminais?,Work Assure,OFSC TOA,Autenticador Microsoft,Autenticador Oracle,B,
"143)  O Minha Claro Residencial, permite ao cliente realizar várias atividades. Selecione a alternativa correta:",Trocar rede e senha do Wi-Fi,Segunda via de fatura,Abrir visitas técnicas,Todas as alternativas,D,
144)  Quais são as etapas do atendimento consultivo?,"Planejamento, sondagem, diagnóstico, atendimento consultivo, encerramento do atendimento","Planejamento, sondagem, atendimento consultivo, encerramento do atendimento","Sondagem, diagnóstico, atendimento consultivo, encerramento do atendimento","Planejamento, sondagem, diagnóstico, encerramento do atendimento",A,
145)  O que é o atendimento consultivo?,É um atendimento especializado prestado pela área comercial,É um atendimento de cliente caso crítico,É um atendimento convencional,É uma consultoria técnica focada em entregar a melhor experiência do cliente com os produtos Claro,D,
146)  Qual é a meta de revisita de acordo com as métricas do técnico certificado?,Acima de 7%,Abaixo de 7%,Até 10%,Entre 8% e 10%,B,
147)  Quais indicadores compõe o título de técnico certificado?,"Revisita, cumprimento de agenda e produtividade","IND4, IND5, IND6 e IND7","IND8, IND9 e INF1",Todos os indicadores do RQUAL,A,
"148)  Sobre o Led de sinalização na cor amarela, podemos afirmar:",Os extensores estão se comunicando na rede de 2.4GHz. Aproxime os extensores até obter o Led Azul fixo ou interligue-os via cabo de rede ethernet.,"Os extensores estão se comunicando na rede de 5GHz, e isso é imprescindível para a melhor performance da rede Mesh.",Somente quando o extensor for o 1° ponto da rede mesh ele estará com o led amarelo.,Não há opção para Led amarelo nos extensores,A,
"149)  Qual das seguintes opções descreve corretamente a política de instalação dos extensores Wi-Fi Mesh, de acordo com a informação fornecida?",A instalação via cabo de rede é necessária apenas quando os extensores forem instalados com eMTA/ONT diferente de CBN.,"A instalação via cabo de rede é obrigatória em todos os pontos, exceto quando há tubulação obstruída. Nesse caso utilize o código de baixa #477 - Instalação Mesh cabeada, para todas as tarefas de instalação efetuadas com cabo de rede Ethernet.","A instalação via Wi-Fi é sempre preferível em todos os casos. Nesses casos você deve utilizar o código de baixa # 409 - Instalação efetuada, para as tarefas de instalação dos módulos mesh via Wi-Fi.","A instalação via cabo de rede é opcional, independentemente das condições.",B,
"150)  Para parear o eMTA CBN com os extensores via WPS, qual o procedimento correto?","1 - Pressione primeiro o botão WPS do extensor por 1 segundo. 2 - Em seguida, com o extensor indicando o Led piscando em vermelho, pressione o botão WPS do eMTA por 5 segundos. 3 - Ao final do processo, se existir uma conexão de qualidade entre os extensores, todos ficarão com o Led Amarelo.","1 - Pressione primeiro o botão WPS do eMTA por 5 segundos. 2 - Em seguida, com o extensor adicional indicando o Led fixo vermelho, pressione o botão WPS por 5 segundos. 3 - Ao final do processo, se existir uma conexão de qualidade entre os extensores, todos ficarão com o Led Azul fixo.","1 - Pressione primeiro o botão WPS do eMTA por 20 segundos. 2- Em seguida, com o extensor indicando o Led vermelho piscando, pressione o botão WPS por 15 segundos. 3 - Ao final do processo, se existir uma conexão de qualidade entre os extensores, todos ficarão com o Led Verde.",Não é possivel parear os extensores com o eMTA CBN via WPS,B,
"151)  Diferente de outros modelos de eMTA, o CBN CH8568 pode ser configurado com a função Mesh, atuando como a 1ª célula da rede. A afirmação acima é:",Falsa,Verdadeira,nao se aplica,n.d.a,B,
152)  Até quantos extensores podem ser conectados à mesma rede?,8 extensores.,2 extensores.,5 extensores.,4 extensores.,D,
"153)  Sobre o Led de sinalização na cor azul fixo, podemos afirmar:",Conexão com qualidade média entre os extensores. Conexão estabelecida entre eles em 2.4GHz com potência superior à -65dBm.,Conexão estabelecida entre eles em 5GHz. Melhor conexão entre os extensores para a performance ideal com potência de até -55dBm.,,,B,
154)  O modelo de comercialização do Mesh CBN AP5541 será no formato:,"O modelo de comercialização do Mesh CBN será no formato Aluguel, ou seja, o cliente paga uma mensalidade para cada extensor instalado e a Claro fica responsável pela assistência e manutenção desses aparelhos","O modelo de comercialização do Mesh CBN será no formato Mercantil, no qual o Cliente compra o equipamento, porém a Claro não fica responsável pela manutenção desses aparelhos.",,,A,
155)  Selecione a alternativa correta sobre as vantagens do Wi-Fi Mesh CBN?,"Ampliar a cobertura na casa do cliente, criando uma rede inteligente que determina o melhor ponto de conexão para cada dispositivo.","Ampliar a cobertura do sinal igual um sistema de repetidores, onde o cliente pode se deslocar sem queda do sinal wi-fi.",Criar uma rede com performance melhor do que o cabo ethernet.,Somente ampliar cobertura do sinal.,A,
"156)  Para os cenários onde a instalação é com eMTA/ONT de outras marcas, no qual o extensor é a 1° célula da rede mesh, qual o procedimento deve ser adotado?","Deixar o Wi-Fi do eMTA do cliente ativo normalmente, com isso haverá um balanceamento entre as redes, o que é ótimo pra rede mesh.","Desativar o Wi-Fi do eMTA/ONT do cliente, para que o dispositivo acesse à rede Wi-Fi Mesh exclusivamente através dos extensores, além de configurar o extensor principal em modo router.","Configurar as redes Wi-Fi de 2.4GHz e 5GHz com SSID distintos, para que o cliente escolha em qual rede conectar.",Ativar o BandSteering e configurar os extensores como Acess Point.,B,
"157)  Para a instalação dos extensores Mesh, a Claro recomenda:","Se a área for de até 60m² podemos instalar dois extensores Wi-Fi mesh, se for 90m² podemos instalar três extensores, ou seja um extensor a cada 30m².","Se a área for de até 150m² podemos instalar um extensor para cada comodo, totalizando três extensores.",Se a área for de até 200m² podemos instalar 02 estensores wi-fi mesh para uma cobertura ideial.,Um extensor é sufuciente para cobrir uma residência de alvenaria.,A,
"158) Ao iniciar uma instalação você identifica que não há disponibilidade de HP no TAP da rede externa. Ao entrar em contato com o COP Tivit/TelTelematica e certificar que as casas conectadas fisicamente ao TAP são Clientes ativos, o que você deve fazer?",Não realizar a instalação e solicitar ao operador para realizar a baixa da O.S com o código #205 e abrir a ocorrência PE1,"Tentar resolver o problema por conta própria, realizando a instalação sem a disponibilidade de HP no TAP e registrando a situação posteriormente.","Aguardar a disponibilidade de HP no TAP da rede externa antes de prosseguir com a instalação, garantindo assim a qualidade do serviço.","Informar ao COP Tivit/TelTelematica sobre a falta de disponibilidade de HP no TAP, aguardar suas instruções e seguir as orientações fornecidas para resolver a situação.",A,
"159) Apos uma instalação, o técnico identificou no terminal que o nivel de SNR de downstream estava fora do padrão. Selecione a alternativa que contem a possivel causa para esse problema:",Cabo de entrada desconectado,Falta do Mini Cable isolator nos terminais,"Falta de Torque nos terminais, e nos passivos de instalação.",Não é um problema pois o SNR será atualizado automaticamente em algumas horas,C,
160) O que você entende por DOCSIS?,Padrão utilizado para interface de transmissão de dados via cabo,Padrão utilizado para interface de recepção de imagem via cabo,É a tecnologia utilizada nos eMTA's a partir da velocidade de 50 Mega;,É a tecnologia utilizada em todos os decodificadores HD para o recebimento do sinal através do cabo.,A,
161) Porque utilizamos o Canal Alto como referência para calcularmos a perda de sinal?,Porque o Canal Alto tem menor atenuação de sinal em comparação com o Canal Baixo.,"O Canal Alto possui maior capacidade de transmissão de dados, portanto, é usado como referência.",A perda de sinal é menor no Canal Alto devido à sua posição geográfica em relação ao transmissor.,Devido a característica do cabo coaxial sofrer maior perca nas frequencias mais altas.,D,
"162) Sobre a função AUTODESLIGAR nos decodificadores HDNGs, qual é o procedimento mais adequado a ser realizado durante o atendimento?",Desabilitar a função AUTODESLIGAR sem informar o cliente para evitar interrupções no funcionamento do decodificador.,"A função AUTODESLIGAR não deve ser desabilitado e o cliente deve ser informado sobre essa funcionalidade, para que o decodificador sempre fique atualizado com as ultimas versões de software.","Não realizar nenhuma ação em relação à função AUTODESLIGAR, pois isso não afeta o desempenho do equipamento.",Informar ao cliente que a função AUTODESLIGAR é opcional e não necessária para o funcionamento correto do decodificador.,B,
"163) Para a banda de retorno e em condições normais, qual das modulações abaixo produz um melhor desempenho do sistema de transmissão?",32 QAM,8 QAM,QPSK,64 QAM,D,
164) O ruído é um dos principais fatores de defeitos nos produtos Claro. Como é possível evitar ingresso de ruído na instalação?,Deixando os conectores frouxos,Passando o cabeamento junto de redes elétricas,Deixando os conectores todos sem crimpar,Crimpando todos os conectores e aplicando torque em todas as conexões,D,
"165) Utilizando como referência os níveis de sinal - Canal Alto 15 dBmV; Canal Baixo 12 dBmV, quais níveis estarão na saída TAP do DC 06?(Componentes Passivos 1 - EAD)","CA: 12,5 dBmV, CB: 9,5 dBmV","CA: 13,5 dBmV, CB: 10,5 dBmV","CA: 15 dBmV, CB: 12 dBmV","CA: 9 dBmV, CB: 06 dBmV",D,
"166) Usando como referência o sinal de 19 dBmV em 550 MHz, ao passar por um DC 12 dB, qual o valor do sinal nas saídas OUT e TAP, respectivamente? (EAD - Componentes Passivo 1)  ",16 dBmV e 7 dBmV,17 dBmV e 8 dBmV,18 dBmV e 7 dBmV,19 dBmV e 8 dBmV,C,
167) Os modems instalados na casa dos clientes realizam uma comunicação com o CMTS. Através de qual canal estes modems RECEBEM o sinal?,CANAL DO DIRETO,CANAL DE RETORNO,CANAL FECHADO,CANAL ABERTO,A,
"168) Um Técnico está realizando uma Adesão
constatou que os sinais que o cliente estava
RECEBENDO estavam fora do padrão. Quais sinais
Nícolas está observando?",Canal Alto,Canal Baixo,RX,Todas as alternativas.,D,
169) A migração do IPv4 para o IPv6 exige que configuremos o e-MTA do cliente em qual modo? (TRILHA IPV6/CGNAT),Bridge,Cable,eMTA,Router,D,
170) Qual  a atenuação de um divisor three way Balanceado?,6dB em todas as portas,"4,5dB em todas as portas",8dB em todas as portas,"4,5/7,5/7,5dB",A,
171) O que é o Band Steering?,Band Steering é uma funcionalidade que estimula os dispositivos dos clientes a se conectarem na melhor frequência disponível e compatível no local.,O Band Steering permite apenas a conexão em 5GHz.,O Band Steering permite apenas a conexão em 2.4GHz,O Band steering é a função de desbloqueio dos eMTAs,A,
"172) Ao instalar o produto Claro Virtua em uma residência, é necessário configurar o Wi-Fi e conectar dispositivos via cabo de rede. Qual modo de operação do eMTA para garantir conectividade para todos os dispositivos?",Modo Bridge,Modo Bridge + WAN,Modo Router,Modo Flyer,C,
173) Qual o comando usado no CMD para medir o tempo de resposta da comunicação entre o seu computador e o servidor de destino?,Ipconfig,Ping,Ipconfig/all,Flush DNS,B,
174) Os dispositivos Wi-Fi 6 funcionam com as frequências:,Somente 5GHz,Somente 2.4GHz,2.4GHz e 5GHz,Somente 6GHz,C,
"175) Diferente dos decodificadores tradicionais, o SAGEMCOM S4KCW3 reúne as duas tecnologias HFC e IPTV no mesmo terminal. Selecione a alternativa correta para utilização em clientes com pacote HFC: (T1 Nº 318 - DECODIFICADOR 4K SAGEMCOM S4KCW3)  ",Esse modelo não possui tecnologia IPTV,"Esse modelo possui uma entrada RF, porém não será utilizada. A recepção do sinal de TV e os demais recursos de interatividade do decodificador (Replay TV, NOW, Apps, etc) funcionarão via internet.","Esse modelo possui uma entrada RF que será utilizada para recepção do sinal de TV e para sincronizar o modem interno que é responsável pelos recursos de interatividade do decodificador (Replay TV, NOW, Apps, etc) funcionarão via internet.","Esse modelo possui uma entrada RF para conexão do cabo do coaxial. Essa entrada será responsável pela recepção do sinal de TV (QAM). A ligação via Internet é obrigatória para o funcionamento da interatividade com o decodificador (Replay TV, NOW, Apps, etc).",D,
176) O que são Transceptores Ópticos?,Equipamentos ativos que convertem sinal RF em óptico e óptico em RF,Equipamentos ativos que convertem sinal óptico em RF,Equipamentos passivos que convertem sinal óptico em RF,Equipamentos passivos que convertem sinal RF em óptico e,A,
177) O espectro de frequências dentro do cabo se divide em dois sentidos:,Canal de Retorno e Canal do Direto.,Canal Alto e Canal Baixo.,Canal Aberto e Canal Fechado.,Canal RX e Canal TX.,A,
178) A Tecnologia MIMO (Multiple-Input Multiple-Output) já é presente em eMTAs com padrão 802.11ac. O que isso significa comparado aos eMTAs sem essa tecnologia? (Vídeo Aula Freq e Segur das redes Wi-Fi App Conectado),"A tecnologia MIMO permite que o dispositivo do cliente alterne automaticamente entre as redes de 2.4 e 5.8 GHz, equanto os terminais sem essa tecnologia não possui esse recurso.","A tecnologia MIMO permite que o dispositivo do cliente alterne automaticamente entre os canais de transmissão, equanto os terminais sem essa tecnologia não possui esse recurso.","A tecnologia MIMO consegue alcançar maiores taxas de transmissão em redes sem fio, usando várias antenas que transmitem sinais simultâneamente, enquanto os terminais sem essa tecnologia transmite sinal apenas para um dispositivo por vez.","É a tecnologia no qual você configura a largura do canal de transmissão no modo de múltiplas antenas, ou seja automático, para que o Cliente consiga usufruir a sua rede sem fio com a máxima performance e velocidade.",C,
"179) O local de instalação do eMTA é ponto chave para minimizar problemas referente a cobertura do sinal wi-fi na residência do cliente, portanto:","Você deve posicionar o eMTA na cozinha, pois é sempre o lugar em que ficam mais pessoas dentro de uma casa e desde que o sinal esteja em -70dBm não há com o que se preocupar com os demais cômodos.","No ponto mais alto da residência do cliente, ou seja no teto ou sótão, pois assim o sinal se propagará sem interferência ou barreiras. O sinal deve estar entre -70 dBm e -90dBm no ponto que o cliente mais usa.","Você deve posicionar o eMTA no quarto com cobertura entre -10dBm e -70dBm, pois geralmente é onde o cliente estuda ou trabalha. Os demais cômodos podem estar com 20% de cobertura.","Você deve perguntar qual o local em que a família mais usa o Wi-Fi, depois identificar o cômodo central entre os locais informados pelo cliente para que o sinal chegue em pelo menos 80% dos cômodos da casa entre -10dBm e -70dBm.",D,
180) Um cliente com produto Streaming (Claro Box TV) solicitou uma mudança de pacote para HFC(Cabo) em seu único ponto de TV com um decodificador S4KCW3. Selecione o procedimento correto para essa mudança: (T1 N° 342 - S4KCW3 MUDANÇA DE PACOTE STREAMING PARA HFC),"O decodificador não deverá ser trocado, pois já possui uma entrada RF. O técnico deverá realizar a instalação dos cabos coaxiais, conectar no decodificador e baixar a tarefa de mudança de pacote no TOA para liberar o Software HFC.",O decodificador deverá ser trocado por decodificadores que não são usados em pacotes Streaming (Box Claro TV),"O decodificador deverá ser trocado, pois não possui uma entrada de RF.","O decodificador não deverá ser trocado, pois já possui uma entrada RF. O técnico deverá primeiro atualizar o Software para HFC e na sequência realizar a instalação dos cabos coaxiais.",A,
"181)  O BER - Bit Error Ratio ou (Taxa de erro por bit), é definido como a: (EAD Sinal Analógico e Digital)."," Relação entre o número total de bits errados, dividido pelo número total de bits transmitidos", Relação da velocidade de transmissão;," Relação entre o número total de bits transmitidos, dividido pelo número total de bits errados;", Relação entre o total de bits reenviados pelo total de bits retransmitidos.,A,
"182)  Considerando os parâmetros técnicos da tela de diagnósticos de um decodificador digital, qual alternativa abaixo representa a melhor qualidade do sinal?"," PS 100%, QS 100% e BER -5"," PS 60%, QS 100% e BER -4"," PS 90%, QS 70% e BER -7"," PS 95%, QS 70% e BER -6",C,
